"GEO.id","GEO.id2","GEO.display-label","GCT_STUB.target-geo-id","GCT_STUB.target-geo-id2","GCT_STUB.display-label","Density per square mile of land area"
"0400000US47",47,"Tennessee","0500000US47171",47171,"Unicoi County",98.4
"0400000US47",47,"Tennessee","0500000US47173",47173,"Union County",85.5
"0400000US47",47,"Tennessee","0500000US47175",47175,"Van Buren County",20.3
"0400000US47",47,"Tennessee","0500000US47177",47177,"Warren County",92.1
"0400000US47",47,"Tennessee","0500000US47179",47179,"Washington County",376.7
"0400000US47",47,"Tennessee","0500000US47181",47181,"Wayne County",23.2
"0400000US47",47,"Tennessee","0500000US47183",47183,"Weakley County",60.3
"0400000US47",47,"Tennessee","0500000US47185",47185,"White County",68.6
"0400000US47",47,"Tennessee","0500000US47187",47187,"Williamson County",314.4
"0400000US47",47,"Tennessee","0500000US47189",47189,"Wilson County",199.7
